"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
"Ryan Wittman","FWN",23,21,384,1.23,62.58,13.08,48.99,-4.99,1.9,8.6
"Salim Stoudamire","RNO",28,42,945,-1.77,49.44,-0.06,4.94,-49.04,1.2,-1.7
"Samardo Samuels","ERI",22,2,47,-0.73,50.31,0.81,1.9,-52.08,5.1,32.7
"Scott VanderMeer","IWA",25,37,522,-2,39.51,-9.99,3.68,-50.3,5,10.4
"Scottie Reynolds","SPG",23,46,1576,2.11,50,0.5,3.25,-50.73,2.8,-8.4
"Sean Banks","IDA",26,23,471,-2.59,49.71,0.21,3.23,-50.75,1.5,6.8
"Sean Marshall","SXF",24,48,1126,-4.08,45.37,-4.13,4.8,-49.18,1.6,-8.2
"Sean Williams","TEX",24,49,1639,0.51,57.34,7.85,3.33,-50.65,5.5,3.6
"Seth Tarver","IDA",22,49,1320,-0.91,51.66,2.16,4.87,-49.11,2.1,-1
"Shane Edwards","NMX",24,45,1513,-0.26,55.39,5.89,3.14,-50.84,2.6,-2
"Sherron Collins","MNE",24,5,130,-1.69,45.48,-4.02,3.4,-50.58,2.3,-6.6
"Shy Ely","IWA",23,13,251,-0.65,58.33,8.84,4.75,-49.23,1.3,0.7
"Solomon Alabi","ERI",23,22,407,1.16,51.72,2.23,3.5,-50.48,6.1,-3.4
"Stanley Asumnu","RGV",28,17,163,-1.73,54.94,5.44,5,-48.98,3.1,0.6
"Stanley Robinson","IWA",22,25,381,3.05,57.32,7.82,4.63,-49.35,2.9,5.5
"Stefhon Hannah","IWA",26,40,799,-1.77,40.81,-8.69,5.49,-48.49,3.6,10.5
"Stephane Lasme","MNE",28,10,201,-2.14,41.91,-7.59,2.06,-51.92,3.4,-3.1
"Stephen Dennis","BAK",23,48,1078,1.46,46.75,-2.75,2.91,-51.07,3.6,2.1
"Stephen McDowell","SXF",25,48,1013,-4.46,44.23,-5.27,6.44,-47.54,1.8,-4.4
"Steve Novak","RNO",28,2,59,-0.78,92.26,42.76,7.77,-46.21,0,11.5
"Tasheed Carr","ERI",25,25,422,-4.45,43.97,-5.53,4.65,-49.33,2,15.7
"Tasmin Mitchell","ERI",25,50,1653,0.34,53.51,4.02,4.77,-49.21,2.8,4.7
"Terrel Harris","RGV",23,50,1315,1.75,57.91,8.42,4.75,-49.23,3,6.5
"Terrence Williams","SPG",24,3,123,0.88,50,0.5,4.45,-49.53,2.2,-4.4
"Thomas Gardner","RNO",26,19,421,-5.39,45.24,-4.26,4.94,-49.04,1.5,-8.2
"Tiny Gallon","BAK",20,46,1217,-2.79,49.15,-0.35,3.35,-50.63,3.7,-4.9
"Tommy Mason-Griffin","SXF",20,5,58,-2.55,21.27,-28.23,3.34,-50.64,1.7,5.2
"Tony Bobbitt","IDA",31,23,756,0.91,53.31,3.82,8.61,-45.37,2.6,1.4
"Tony Gaffney","UTA",26,35,1001,5.71,55.07,5.57,4.01,-49.97,6.6,4.1
"Tre Kelley","AUS",26,11,259,-5.38,49.66,0.16,4.07,-49.91,0.7,-2
"Tre Whitted","SPG",26,45,948,-5.26,43.75,-5.75,6.63,-47.35,1.3,-6
"Trey Johnson","BAK",26,39,1402,-0.05,51.2,1.7,3.6,-50.38,1.4,6.7
"Tweety Carter","TUL",24,31,822,-1.01,49.4,-0.09,4.23,-49.75,1.4,7.8
"Tyler Hughes","NMX",26,1,12,-1.95,49.7,0.2,50,-3.98,4.2,-4.2
"Vernon Goodridge","MNE",27,48,1020,-1.2,53.08,3.58,4.44,-49.54,5.1,-4.2
"Vernon Hamilton","DAK",26,16,427,-0.5,50.52,1.02,3.33,-50.65,2.5,-4.5
"Walker Russell","FWN",28,37,1283,1.52,48.61,-0.89,3.22,-50.76,2.5,1.5
"Walter Sharpe","NMX",24,45,1035,-3.69,42.96,-6.54,4.03,-49.95,3.4,-5.3
"Wayne Chism","FWN",24,27,537,0.31,48.45,-1.05,3.13,-50.85,3.9,0.3
"Willie Jenkins","IDA",29,50,1152,-1.79,47.71,-1.79,3.94,-50.04,1.8,4.5
"Willie Kemp","DAK",24,16,317,-5.56,35.15,-14.35,4.77,-49.21,2.5,-3.6
"Willie Warren","BAK",21,15,410,4.72,52.73,3.23,3,-50.98,1.8,2.2
"Wink Adams","SXF",26,10,215,-2.13,47.15,-2.35,10.34,-43.64,2.3,1.6
"Yemi Ogunoye","SXF",26,14,389,-2.76,50.57,1.08,5.57,-48.41,2.5,-11
"Zabian Dowdell","TUL",26,18,528,2.82,44.37,-5.13,3.83,-50.15,4.2,4.3
